"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.9128604008859e-18,0.589404325901346,0.87,0.676,1.51660000575348e-13,"12","NME2"
4.9698574614144e-18,0.737421892868473,0.394,0.184,1.53419499833862e-13,"12","ANKUB1"
4.99551851153637e-18,0.568098964726619,0.648,0.355,1.54211656451128e-13,"12","TMEM167A"
5.20917259077024e-18,0.998798563166362,0.267,0.105,1.60807157877077e-13,"12","PTGS1"
5.30737336960441e-18,0.706026336969715,0.521,0.273,1.63838615919688e-13,"12","HES4"
5.41474452441621e-18,0.643800239793969,0.711,0.417,1.67153163468729e-13,"12","SSR3"
5.48797599697028e-18,0.596932450599816,0.257,0.098,1.69413819026473e-13,"12","DNASE1L1"
5.62563831538086e-18,0.503079199416897,0.489,0.232,1.73663454795807e-13,"12","NCF4"
5.66235626262602e-18,0.661514288828443,0.387,0.177,1.74796937827265e-13,"12","DBNDD2"
5.76472007096565e-18,0.730880314325116,0.844,0.592,1.7795690859071e-13,"12","BAG3"
5.90699277630805e-18,0.566666217750651,0.959,0.889,1.8234886700463e-13,"12","GAPDH"
6.12027281769097e-18,0.897760076328321,0.495,0.258,1.8893282188212e-13,"12","MCF2L2"
6.45906735654907e-18,0.783063720797831,0.378,0.175,1.9939140929667e-13,"12","TAX1BP3"
6.51288721004504e-18,0.864414025575552,0.321,0.139,2.0105282817409e-13,"12","C20orf27"
6.71528063602316e-18,0.531262409065299,0.54,0.279,2.07300713234035e-13,"12","UBE2F"
7.10140028708633e-18,0.571860762775977,0.921,0.772,2.19220226862355e-13,"12","ITM2B"
7.8456643918415e-18,0.680345997416238,0.489,0.242,2.42195659776147e-13,"12","SETDB2"
8.30601569401207e-18,0.659137792628733,0.343,0.15,2.56406704474153e-13,"12","EDEM2"
8.51988368264905e-18,0.611309370259268,0.406,0.187,2.63008809283376e-13,"12","HEIH"
8.93613327486526e-18,0.675000231313258,0.397,0.185,2.75858434195091e-13,"12","TMEM141"
9.50215308683596e-18,0.597201500741459,0.746,0.454,2.93331465790626e-13,"12","ARPC4"
1.00492993025038e-17,0.529314540031334,0.276,0.109,3.10221869468292e-13,"12","PLCB2"
1.01787494376198e-17,0.638923918882802,0.651,0.365,3.14217995139322e-13,"12","PHPT1"
1.02873051240898e-17,0.46484605295769,0.575,0.305,3.17569109180651e-13,"12","MAML3"
1.04331815116113e-17,1.44422164772416,0.321,0.145,3.22072313263441e-13,"12","FLT1"
1.07356582906566e-17,0.418610619665215,0.371,0.165,3.31409771432568e-13,"12","MGST1"
1.16497900610704e-17,0.562482679877164,0.917,0.692,3.59629019185244e-13,"12","RAPGEF1"
1.19763414804758e-17,0.576601893502221,0.841,0.59,3.69709661502288e-13,"12","COX8A"
1.24162382732663e-17,0.707864607284639,0.378,0.174,3.8328927549573e-13,"12","SLC39A1"
1.29429770213703e-17,0.54263016440245,0.863,0.623,3.99549700649702e-13,"12","COX5B"
1.32596242551151e-17,0.68352856229556,0.619,0.344,4.09324600755403e-13,"12","DENND4C"
1.34886537857608e-17,0.505396494043802,0.537,0.277,4.16394742366435e-13,"12","CPEB2"
1.43759557723063e-17,0.548820619948355,0.829,0.527,4.43785754691095e-13,"12","ARL15"
1.45334051156486e-17,0.569002342738819,0.848,0.561,4.48646215920073e-13,"12","FNIP1"
1.75261110738783e-17,0.57209870453562,0.787,0.504,5.41031048850624e-13,"12","ZNF267"
1.87668815258593e-17,0.554275465034627,0.629,0.35,5.79333632703277e-13,"12","NDUFS7"
1.95280200710163e-17,0.499867511540119,0.813,0.517,6.02829979592274e-13,"12","CAPZA2"
2.05516762676173e-17,0.604364788458606,0.6,0.32,6.34430246381346e-13,"12","GAK"
2.17606988863948e-17,0.753394520984436,0.292,0.12,6.71752774623007e-13,"12","MRPL24"
